===START===
transaction_id,customer_id,transaction_date,amount,transaction_type,product_category,payment_method
TXN001,CUST001,2024-12-28,89.99,purchase,electronics,credit_card
TXN002,CUST001,2024-12-15,45.50,purchase,clothing,credit_card
TXN003,CUST001,2024-11-20,120.00,purchase,home_goods,paypal
TXN004,CUST001,2024-10-05,67.25,purchase,electronics,credit_card
TXN005,CUST002,2024-12-10,32.99,purchase,books,debit_card
TXN006,CUST002,2024-11-28,54.00,purchase,clothing,credit_card
TXN007,CUST003,2023-12-15,299.99,purchase,electronics,credit_card
TXN008,CUST003,2023-10-22,150.00,purchase,home_goods,credit_card
TXN009,CUST003,2023-08-30,89.50,purchase,clothing,paypal
TXN010,CUST004,2024-12-20,45.99,purchase,books,debit_card
TXN011,CUST004,2024-12-05,78.50,purchase,electronics,credit_card
TXN012,CUST004,2024-11-15,120.00,purchase,clothing,credit_card
TXN013,CUST005,2024-12-30,450.00,purchase,electronics,credit_card
TXN014,CUST005,2024-12-22,320.50,purchase,jewelry,credit_card
TXN015,CUST005,2024-12-10,180.00,purchase,clothing,paypal
TXN016,CUST005,2024-11-25,275.99,purchase,home_goods,credit_card
TXN017,CUST006,2023-08-10,65.00,purchase,books,debit_card
TXN018,CUST006,2023-06-22,95.50,purchase,clothing,credit_card
TXN019,CUST007,2024-12-18,156.75,purchase,electronics,credit_card
TXN020,CUST007,2024-11-30,220.00,purchase,home_goods,paypal
TXN021,CUST007,2024-10-12,89.99,purchase,clothing,credit_card
TXN022,CUST008,2024-12-05,42.50,purchase,books,debit_card
TXN023,CUST008,2024-11-20,68.99,purchase,electronics,credit_card
TXN024,CUST009,2023-09-15,189.99,purchase,electronics,credit_card
TXN025,CUST009,2023-07-28,145.00,purchase,jewelry,paypal
TXN026,CUST010,2024-12-12,55.99,purchase,books,debit_card
TXN027,CUST010,2024-11-08,92.50,purchase,clothing,credit_card
TXN028,CUST010,2024-10-22,110.00,purchase,electronics,credit_card
TXN029,CUST011,2024-12-29,38.99,purchase,books,debit_card
TXN030,CUST011,2024-12-14,71.50,purchase,clothing,credit_card
TXN031,CUST012,2024-11-05,580.00,purchase,electronics,credit_card
TXN032,CUST012,2024-09-18,420.50,purchase,jewelry,paypal
TXN033,CUST012,2024-07-30,310.00,purchase,home_goods,credit_card
TXN034,CUST013,2024-12-25,198.99,purchase,electronics,credit_card
TXN035,CUST013,2024-12-08,145.00,purchase,clothing,credit_card
TXN036,CUST013,2024-11-12,89.50,purchase,books,debit_card
TXN037,CUST014,2024-10-20,62.99,purchase,clothing,credit_card
TXN038,CUST014,2024-09-05,48.50,purchase,books,debit_card
